product_id,seller_id,title,current_price,was_price,location,image_url,image_path,product_url,tags
7946311139388,6993553883196,,"₪2,000",,מודיעין מכבים רעות,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010933_20250425170619_large.jpg?v=1745590165,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010933_20250425170619_large.jpg?v=1745590165,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופני-שטח-185,
7994145407036,7371525685308,,"₪1,950",,אור יהודה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010469_20250425154401_large.jpg?v=1745585739,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010469_20250425154401_large.jpg?v=1745585739,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/קורקינט-ninebot,
7709485006908,6665307979836,,"₪1,999","₪2,500",כפר סבא,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010217_20240722100440_large.jpg?v=1743527964,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010217_20240722100440_large.jpg?v=1743527964,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-g66b9b912,
7968644595772,7246944927804,,"₪2,000","₪2,100",בני ברק,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010787_20250415214328_large.jpg?v=1744742636,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010787_20250415214328_large.jpg?v=1744742636,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליים-5283,
7923426885692,6967218339900,,"₪1,650","₪1,900",ירושלים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010649_20250210044718_large.jpg?v=1742999536,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010649_20250210044718_large.jpg?v=1742999536,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליות-1925,
7993966264380,7271997767740,,"₪1,500",,שערי תקווה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010843_20250425092939_large.jpg?v=1745562754,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010843_20250425092939_large.jpg?v=1745562754,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-gd21f1ef1,
7978448551996,7403772182588,,"₪2,000",,עץ אפרים,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010019_20250407181037_large.jpg?v=1744039024,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010019_20250407181037_large.jpg?v=1744039024,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-חשמליים-5434,
7993512067132,7145323495484,,"₪1,600",,ירוחם,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010065_20250424222459_large.jpg?v=1745523008,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010065_20250424222459_large.jpg?v=1745523008,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופנים-חשמליות-251,
7992400347196,7208743305276,,"₪1,200",,עכו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010570_20250423163421_large.jpg?v=1745415849,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010570_20250423163421_large.jpg?v=1745415849,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/קורקינט-g1a855ac2,
7947165663292,6669808828476,,"₪1,650",,תל אביב יפו,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010380_20250424082354_large.jpg?v=1745472430,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010380_20250424082354_large.jpg?v=1745472430,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופני-עיר-146,
7993397280828,6763954929724,,"₪1,500",,נתניה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010862_20250424203234_large.jpg?v=1745516403,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010862_20250424203234_large.jpg?v=1745516403,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופנים-חשמלים-98,
7993375490108,6659548643388,,"₪1,300",,הרצליה,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010717_20250424200339_large.jpg?v=1745514625,https://cdn.shopify.com/s/files/1/0590/7860/6908/files/y2_0pa_010717_20250424200339_large.jpg?v=1745514625,https://market.yad2.co.il/collections/אופניים-וקורקינטים/products/אופניים-g61a693d1,
