title,model_details,year,agency,price,monthly_payment,link,image_path
סובארו פורסטר,XS+ אוט׳ 2.0 (150 כ״ס),2009 • יד 3,,"2,000 ₪",,https://www.yad2.co.il://item/aruhj3ym,https://img.yad2.co.il/Pic/202504/05/1_3/o/y2_1pa_010718_20250405175357.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,X+ אוט׳ 2.0 (150 כ״ס) [2009-2011],2010 • יד 4,,"22,500 ₪",,https://www.yad2.co.il://item/2ynjx5vi,https://img.yad2.co.il/Pic/202504/05/1_3/o/y2_1pa_010183_20250405154819.jpeg?w=3840&h=3840&c=9
סובארו B4/לגאסי,20I אוט׳ סדאן 4 דל 2.0 (137 כ״ס),2005 • יד 5,,"8,500 ₪",,https://www.yad2.co.il://item/nnt89qb8,https://img.yad2.co.il/Pic/202503/23/1_1/o/y2_1pa_010403_20250323205315.jpeg?w=3840&h=3840&c=9
סובארו B4/לגאסי,R אוט׳ סדאן 4 דל 2.0 (150 כ״ס) [2009-2012],2009 • יד 2,,"16,500 ₪",,https://www.yad2.co.il://item/k2a7td41,https://img.yad2.co.il/Pic/202502/20/1_1/o/y2_1pa_010898_20250220223732.jpeg?w=3840&h=3840&c=9
סובארו אאוטבק,X אוט׳ בנזין 2.5 (167 כ״ס),2014 • יד 3,,"1,500 ₪",,https://www.yad2.co.il://item/0acb577d,
סובארו פורסטר,X+ אוט׳ 2.0 (150 כ״ס) [2010-2011],2010 • יד 3,,"35,000 ₪",,https://www.yad2.co.il://item/z44but7c,https://img.yad2.co.il/Pic/202504/04/1_3/o/y2_1_01937_20250404205737.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ האצ'בק 5 דל 1.5 (107 כ״ס),2009 • יד 1,,"10,500 ₪",,https://www.yad2.co.il://item/k97kl0yl,https://img.yad2.co.il/Pic/202504/04/1_1/o/y2_1pa_010038_20250404133031.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6I אוט׳ 1.6 (114 כ״ס) [2016-2018],2016 • יד 3,,"39,000 ₪",,https://www.yad2.co.il://item/4plmsyxd,https://img.yad2.co.il/Pic/202504/04/1_1/o/y2_1pa_010059_20250404121624.jpeg?w=3840&h=3840&c=9
סובארו אאוטבק,X אוט׳ 2.5 (175 כ״ס) [2015-2016],2015 • יד 1,,"50,000 ₪",,https://www.yad2.co.il://item/ggqr8u5g,https://img.yad2.co.il/Pic/202503/24/1_1/o/y2_1pa_010104_20250324142938.jpeg?w=3840&h=3840&c=9
סובארו פורסטר,2.0X אוט׳ 2.0 (150 כ״ס),2017 • יד 1,,"68,900 ₪",,https://www.yad2.co.il://item/h9f9v0m4,https://img.yad2.co.il/Pic/202503/31/1_3/o/y2_1pa_010505_20250331211339.jpeg?w=3840&h=3840&c=9
סובארו XV,1.6 Tokyo אוט׳ 1.6 (114 כ״ס),2015 • יד 5,,"46,000 ₪",,https://www.yad2.co.il://item/ub125wij,https://img.yad2.co.il/Pic/202503/13/1_1/o/y2_1pa_010116_20250313132002.jpeg?w=3840&h=3840&c=9
סובארו אימפרזה,4X2 RX אוט׳ סדאן 4 דל 1.5 (107 כ״ס),2010 • יד 3,,"12,900 ₪",,https://www.yad2.co.il://item/ne0dxpkr,https://img.yad2.co.il/Pic/202504/03/1_1/o/y2_1pa_010311_20250403174818.jpeg?w=3840&h=3840&c=9
